date,foundation_model
2016-05-13 19:00:00,120.76802
2016-05-13 20:00:00,108.45175
2016-05-13 21:00:00,84.845535
2016-05-13 22:00:00,68.423836
2016-05-13 23:00:00,58.16023
2016-05-14 00:00:00,56.79175
2016-05-14 01:00:00,56.107513
2016-05-14 02:00:00,56.79175
2016-05-14 03:00:00,56.79175
2016-05-14 04:00:00,56.79175
2016-05-14 05:00:00,56.79175
2016-05-14 06:00:00,58.16023
2016-05-14 07:00:00,60.212986
2016-05-14 08:00:00,64.66051
2016-05-14 09:00:00,71.502884
2016-05-14 10:00:00,81.76644
2016-05-14 11:00:00,75.95045
2016-05-14 12:00:00,69.10808
2016-05-14 13:00:00,65.0026
2016-05-14 14:00:00,65.0026
2016-05-14 15:00:00,65.0026
2016-05-14 16:00:00,63.63413
2016-05-14 17:00:00,69.79231
2016-05-14 18:00:00,72.52922
2016-05-14 19:00:00,117.41309
2016-05-14 20:00:00,100.25535
2016-05-14 21:00:00,71.9954
2016-05-14 22:00:00,61.902637
2016-05-14 23:00:00,59.88403
2016-05-15 00:00:00,58.538322
2016-05-15 01:00:00,58.538322
2016-05-15 02:00:00,58.538322
2016-05-15 03:00:00,58.538322
2016-05-15 04:00:00,58.538322
2016-05-15 05:00:00,59.88403
2016-05-15 06:00:00,63.584747
2016-05-15 07:00:00,65.26686
2016-05-15 08:00:00,66.61257
2016-05-15 09:00:00,66.61257
2016-05-15 10:00:00,66.61257
2016-05-15 11:00:00,64.2576
2016-05-15 12:00:00,63.584747
2016-05-15 13:00:00,65.93971
2016-05-15 14:00:00,65.26686
2016-05-15 15:00:00,66.94902
2016-05-15 16:00:00,68.63117
2016-05-15 17:00:00,69.97688
2016-05-15 18:00:00,73.3411
2016-05-15 19:00:00,100.12986
2016-05-15 20:00:00,90.11693
2016-05-15 21:00:00,70.09089
2016-05-15 22:00:00,60.077953
2016-05-15 23:00:00,56.74025
2016-05-16 00:00:00,54.070168
2016-05-16 01:00:00,53.402634
2016-05-16 02:00:00,53.402634
2016-05-16 03:00:00,51.399994
2016-05-16 04:00:00,53.402634
2016-05-16 05:00:00,56.74025
2016-05-16 06:00:00,56.74025
2016-05-16 07:00:00,61.413017
2016-05-16 08:00:00,68.42208
2016-05-16 09:00:00,66.75327
2016-05-16 10:00:00,63.41557
2016-05-16 11:00:00,60.077953
2016-05-16 12:00:00,58.075314
2016-05-16 13:00:00,60.077953
2016-05-16 14:00:00,58.075314
2016-05-16 15:00:00,60.077953
2016-05-16 16:00:00,70.09089
2016-05-16 17:00:00,79.102585
2016-05-16 18:00:00,90.11693
2016-05-16 19:00:00,114.93852
2016-05-16 20:00:00,95.555405
2016-05-16 21:00:00,72.09162
2016-05-16 22:00:00,61.889946
2016-05-16 23:00:00,56.449074
2016-05-17 00:00:00,56.449074
2016-05-17 01:00:00,55.088856
2016-05-17 02:00:00,55.088856
2016-05-17 03:00:00,53.048576
2016-05-17 04:00:00,55.088856
2016-05-17 05:00:00,55.088856
2016-05-17 06:00:00,59.849663
2016-05-17 07:00:00,63.59024
2016-05-17 08:00:00,66.65075
2016-05-17 09:00:00,61.889946
2016-05-17 10:00:00,60.52977
2016-05-17 11:00:00,60.52977
2016-05-17 12:00:00,59.849663
2016-05-17 13:00:00,61.54991
2016-05-17 14:00:00,63.250164
2016-05-17 15:00:00,65.290535
2016-05-17 16:00:00,70.73136
2016-05-17 17:00:00,81.613144
2016-05-17 18:00:00,89.77445
